"","ags","wahlberechtigte","waehler","ungueltig","gueltig","parteien_ges","partei_cdu","partei_spd","partei_gruene","partei_fdp","partei_linke","partei_rep","partei_odp","partei_dkp","partei_afd","partei_big","partei_partei","partei_einheit","partei_graue","partei_npd","partei_piraten","partei_cdu.fdp","partei_spd.gruene","wv_cdu","wv_spd","wv_fdp","wv_gruene","wv_linke","wv_odp","wv_partei","wv_agp","wv_spd.gruene","wv_allg","wv_ju","wv_grli","wv_lili","wv_frli","wv_einzel","Gemeindename","lon","lat"
"63","08116071","12193","5750","164","112432","112432","39074","21395","26300","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","25663","None","None","None","None","None","Wendlingen am Neckar, Stadt",9.379185,48.672426
"64","08116072","9859","4831","119","96109","96109","23258","14043","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","10241","None","None","None","None","None","48567","None","None","None","None","None","Wernau (Neckar), Stadt",9.421663,48.689366
"65","08116073","5008","2785","51","36252","36252","6456","5186","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","19525","None","5085","None","None","None","Wolfschlugen",9.288023,48.653445
"66","08116076","6201","3844","73","64792","64792","24598","14726","7709","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","17759","None","None","None","None","None","Aichwald",9.379855,48.75899
"67","08116077","34524","16099","490","445944","445944","117819","93338","78980","27881","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","127926","None","None","None","None","None","Filderstadt, Stadt",9.21973,48.67876
"68","08116078","29561","15158","413","351628","351628","81780","56752","67301","27669","None","None","None","None","None","None","3677","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","114449","None","None","None","None","None","Leinfelden-Echterdingen, Stadt",9.138976,48.693719
"69","08116079","6240","3230","129","47663","47663","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","47663","None","None","None","None","None","Lenningen",9.472018,48.551225
"70","08116080","28782","14000","394","322056","322056","79173","67050","68553","10119","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","97161","None","None","None","None","None","Ostfildern, Stadt",9.301248,48.712327
"71","08116081","7853","4443","60","74063","74063","None","None","16416","None","None","None","None","None","None","None","None","None","None","None","None","None","None","16552","12933","None","None","None","None","None","None","None","28162","None","None","None","None","None","Aichtal, Stadt",9.236006,48.621
"72","08117001","1623","1164","17","11219","11219","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","11219","None","None","None","None","None","Adelberg",9.598555,48.762533
"73","08117002","1044","550","16","4104","4104","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","4104","None","None","None","None","None","Aichelberg",9.567184,48.638498
"74","08117003","3333","1826","42","23714","23714","4343","2242","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","17129","None","None","None","None","None","Albershausen",9.564885,48.691161
"75","08117006","2872","1638","66","16980","16980","8415","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","8565","None","None","None","None","None","Bad Ditzenbach",9.704166,48.58863
"76","08117007","3206","1863","79","22386","22386","11617","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","10769","None","None","None","None","None","Bad Überkingen",9.799193,48.602392
"77","08117009","1555","828","11","7722","7722","2008","2808","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","2906","None","None","None","None","None","Birenbach",9.660006,48.745909
